"Column Name","Description","Data Type","Range","Units","Example Values"
"Heating","Type of heating system","Categorical","—","—","GasA, GasW, Grav"
"HeatingQC","Heating quality and condition","Ordinal","—","—","Ex, Gd, TA"
"CentralAir","Central air conditioning","Categorical","—","—","Y, N"
"Electrical","Type of electrical system","Categorical","—","—","SBrkr, FuseA"
"1stFlrSF","First-floor square feet","Numerical","[334, 4692]","Square Feet","1000, 1500, 1800"
"2ndFlrSF","Second-floor square feet","Numerical","[0, 2065]","Square Feet","800, 1200, 0"
"LowQualFinSF","Low quality finished square feet (all floors)","Numerical","[0, 572]","Square Feet","300, 200, 0"
"GrLivArea","Above grade living area square feet","Numerical","[334, 5642]","Square Feet","1200, 1500, 2000"
"BsmtFullBath","Number of full bathrooms in basement","Numerical","[0, 3]","Count","1, 2, 0"
"BsmtHalfBath","Number of half bathrooms in basement","Numerical","[0, 2]","Count","1, 0"
"FullBath","Number of full bathrooms above grade","Numerical","[0, 3]","Count","2, 3, 1"
"HalfBath","Number of half bathrooms above grade","Numerical","[0, 2]","Count","1, 0"
"BedroomAbvGr","Number of bedrooms above grade","Numerical","[0, 8]","Count","3, 4, 2"
"KitchenAbvGr","Number of kitchens above grade","Numerical","[0, 3]","Count","1, 2, 1"
"KitchenQual","Quality of the kitchen","Ordinal","—","—","Gd, TA, Ex"
"TotRmsAbvGrd","Total rooms above grade (excludes bathrooms)","Numerical","[2, 14]","Count","6, 8, 9"
"Functional","Home functionality rating","Ordinal","—","—","Typ, Min1, Maj1"
"Fireplaces","Number of fireplaces","Numerical","[0, 3]","Count","1, 2, 0"
"FireplaceQu","Fireplace quality","Ordinal","—","—","TA, Gd, Fa"
"GarageType","Garage location in relation to house","Categorical","—","—","Attchd, Detchd"
"GarageYrBlt","Year the garage was built","Numerical","[1900, 2010]","Year","2000, 1998, 1985"
"GarageFinish","Interior finish of the garage","Categorical","—","—","RFn, Unf, Fin"
"GarageCars","Size of garage in car capacity","Numerical","[0, 4]","Count","2, 1, 3"
"GarageArea","Size of garage in square feet","Numerical","[0, 1418]","Square Feet","200, 300, 400"
"GarageQual","Quality of the garage","Ordinal","—","—","TA, Gd, Fa"
"GarageCond","Condition of the garage","Ordinal","—","—","TA, Gd, Fa"
"PavedDrive","Paved driveway","Categorical","—","—","Y, N, P"
"WoodDeckSF","Wood deck area in square feet","Numerical","[0, 736]","Square Feet","200, 500, 0"
"OpenPorchSF","Open porch area in square feet","Numerical","[0, 547]","Square Feet","100, 250, 0"
"EnclosedPorch","Enclosed porch area in square feet","Numerical","[0, 552]","Square Feet","0, 100"
"3SsnPorch","Three-season porch area in square feet","Numerical","[0, 508]","Square Feet","0, 150"
"ScreenPorch","Screened porch area in square feet","Numerical","[0, 480]","Square Feet","0, 120"
"PoolArea","Pool area in square feet","Numerical","[0, 738]","Square Feet","0, 300"
"PoolQC","Pool quality","Ordinal","—","—","Ex, Fa, Gd"
"Fence","Quality of the fence","Ordinal","—","—","MnPrv, GdWo"
"MiscFeature","Miscellaneous feature not covered in other categories","Categorical","—","—","Shed, Gar2"
"MiscVal","Value of miscellaneous feature","Numerical","[0, 15500]","Dollars","0, 1000"
"MoSold","Month the house was sold","Numerical","[1, 12]","Month","6, 10"
"YrSold","Year the house was sold","Numerical","[2006, 2010]","Year","2007, 2008"
"SaleType","Type of sale","Categorical","—","—","WD, New"
"SaleCondition","Condition of sale","Categorical","—","—","Normal, Abnorml"
